genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genre_name
10751,47626,en,Legend of the BoneKnapper Dragon,13.013,2010-10-15,Legend of the BoneKnapper Dragon,6.4,116,Family
28,26389,en,From Paris with Love,12.862,2010-02-05,From Paris with Love,6.2,1075,Action
80,26389,en,From Paris with Love,12.862,2010-02-05,From Paris with Love,6.2,1075,Crime
53,26389,en,From Paris with Love,12.862,2010-02-05,From Paris with Love,6.2,1075,Thriller
28,40662,en,Batman: Under the Red Hood,12.704,2010-07-27,Batman: Under the Red Hood,7.7,756,Action
16,40662,en,Batman: Under the Red Hood,12.704,2010-07-27,Batman: Under the Red Hood,7.7,756,Animation
9648,40662,en,Batman: Under the Red Hood,12.704,2010-07-27,Batman: Under the Red Hood,7.7,756,Mystery
16,42949,en,Arthur 3: la guerre des deux mondes,12.679,2010-08-22,Arthur 3: The War of the Two Worlds,5.6,865,Animation
12,42949,en,Arthur 3: la guerre des deux mondes,12.679,2010-08-22,Arthur 3: The War of the Two Worlds,5.6,865,Adventure
14,42949,en,Arthur 3: la guerre des deux mondes,12.679,2010-08-22,Arthur 3: The War of the Two Worlds,5.6,865,Fantasy
10751,42949,en,Arthur 3: la guerre des deux mondes,12.679,2010-08-22,Arthur 3: The War of the Two Worlds,5.6,865,Family
35,23023,en,Tooth Fairy,12.65,2010-01-22,Tooth Fairy,5.3,1058,Comedy
10751,23023,en,Tooth Fairy,12.65,2010-01-22,Tooth Fairy,5.3,1058,Family
14,23023,en,Tooth Fairy,12.65,2010-01-22,Tooth Fairy,5.3,1058,Fantasy
28,23631,en,Machete,12.557,2010-09-03,Machete,6.3,1862,Action
35,23631,en,Machete,12.557,2010-09-03,Machete,6.3,1862,Comedy
53,23631,en,Machete,12.557,2010-09-03,Machete,6.3,1862,Thriller
80,25376,es,El secreto de sus ojos,12.531,2010-04-16,The Secret in Their Eyes,7.9,1141,Crime
18,25376,es,El secreto de sus ojos,12.531,2010-04-16,The Secret in Their Eyes,7.9,1141,Drama
9648,25376,es,El secreto de sus ojos,12.531,2010-04-16,The Secret in Their Eyes,7.9,1141,Mystery
10749,25376,es,El secreto de sus ojos,12.531,2010-04-16,The Secret in Their Eyes,7.9,1141,Romance
35,35056,en,Date Night,12.498,2010-04-08,Date Night,6.0,1743,Comedy
35,41733,en,Due Date,12.445,2010-11-04,Due Date,6.3,2973,Comedy
18,41733,en,Due Date,12.445,2010-11-04,Due Date,6.3,2973,Drama
28,31867,en,Repo Men,12.437,2010-03-19,Repo Men,6.2,976,Action
878,31867,en,Repo Men,12.437,2010-03-19,Repo Men,6.2,976,Science Fiction
53,31867,en,Repo Men,12.437,2010-03-19,Repo Men,6.2,976,Thriller
80,31867,en,Repo Men,12.437,2010-03-19,Repo Men,6.2,976,Crime
16,43641,en,Superman/Shazam!: The Return of Black Adam,12.395,2010-11-09,Superman/Shazam!: The Return of Black Adam,7.1,140,Animation
28,43641,en,Superman/Shazam!: The Return of Black Adam,12.395,2010-11-09,Superman/Shazam!: The Return of Black Adam,7.1,140,Action
16,28874,ja,サマーウォーズ,12.275,2010-10-13,Summer Wars,7.5,447,Animation
28,38575,en,The Karate Kid,12.255999999999998,2010-06-10,The Karate Kid,6.3,3140,Action
12,38575,en,The Karate Kid,12.255999999999998,2010-06-10,The Karate Kid,6.3,3140,Adventure
18,38575,en,The Karate Kid,12.255999999999998,2010-06-10,The Karate Kid,6.3,3140,Drama
